Age,Gender,Education,Monthly Income,Occupation,Country,City,Marital Status,Has Children,Children Use Learning Apps,Device,Internet Quality,Hours Online,Time of Day,Learning Mode,App Comfort Level,Ad Channel,Ad Click Frequency,Ad Format,Ad Message Clarity,Ad Design Appeal,Motivation,Learning Goals,Preferred Subjects,Preferred App Features,Selection Factors,Learning Challenges,Free Trial Willingness,Courses Taken Last Year,Signed Up,Sign-up Reason,Paid Subscription,Payment Preference,Willingness to Spend,Non-Subscription Reasons,Satisfaction Level,Would Recommend,Features Used Most,Other Apps Used,Desired Improvement
35-44,Female,High School,1000-2000,Working Professional,Tunisia,Kellyberg,Married,Yes,Not applicable,Smartphone,Excellent,2-4,Early morning,Self-paced,5,YouTube,Sometimes,Text,No,Appealing,"Academic help, Parental suggestion, Peer recommendation, Hobby learning","Switch careers, Networking, Start a business, Get a new job","Science, Other, Exam prep, Languages, Arts","Other, Gamification, Offline access, Personalized content, Quizzes","Tutor quality, Flexibility, Price, Certification, Peer reviews, Other","Time management, Lack of support, Poor internet, Lack of motivation",4,6-10,Yes,Other,No,Free only,<10,"Other, Not enough content, Privacy concerns, Lack of reviews, Complicated signup",5,Yes,"Live sessions, Other, Community forums, Downloadable resources, Quizzes, Progress tracking","edX, Khan Academy, None, Skillshare, Coursera",Better support
18-24,Male,Undergraduate,1000-2000,Working Professional,Taiwan,Toddberg,Single,No,Not applicable,Tablet,Good,4-6,Afternoon,Blended,3,Google Search,Rarely,Video,No,Neutral,"Hobby learning, Parental suggestion, Certification, Academic help, Career growth, Peer recommendation","Networking, Switch careers, Get a new job, Improve current job skills, Personal enrichment, Start a business","Science, Technology, Languages, Business, Humanities","Live classes, Peer interaction, Gamification, Other, Recorded videos","Other, Content quality, Price, Peer reviews","Other, Poor internet, Distractions, Boring content",2,0,No,Value for money,No,Annual subscription,10-20,"Price, No payment method, Complicated signup, Not enough content, Privacy concerns",4,Yes,"Quizzes, Notes/highlighting, Leaderboards, Other, Community forums","Other, Unacademy, Byju’s, Skillshare",Better support
45-54,Female,Undergraduate,2000-5000,Working Professional,Mauritania,East Dawn,Single,Yes,No,Smartphone,Good,1-2,Evening,One-on-one,1,LinkedIn,Rarely,Influencer post,Yes,Appealing,"Other, Certification, Exam preparation, Skill development","Earn certifications, Other, Personal enrichment, Improve current job skills","Technology, Humanities, Exam prep, Science","Gamification, Live classes, Certificates, Personalized content, Quizzes","Certification, Other, Flexibility, Peer reviews","Cost, Time management, Lack of support, Poor internet, Technical issues, Other",4,3-5,No,Unclear benefits,No,Annual subscription,<10,"Not enough content, No payment method, Price, Prefer free content, Lack of reviews",2,Yes,"Progress tracking, Live sessions, Notes/highlighting, Downloadable resources, Leaderboards, Quizzes","Unacademy, Byju’s, edX, None, Skillshare",More courses
25-34,Male,Postgraduate,500-1000,Student,Turks and Caicos Islands,Obrienborough,Single,No,Not applicable,Smartphone,Good,4-6,Evening,Blended,5,YouTube,Never,Image,Yes,Neutral,"Skill development, Other, Exam preparation, Hobby learning","Improve current job skills, Other, Start a business, Get a new job","Business, Humanities, Exam prep, Arts, Science","Live classes, Gamification, Certificates, Other","Other, App design, Flexibility, Peer reviews","Time management, Poor internet, Other, Boring content, Distractions",4,1-2,Yes,Interesting content,Yes,One-time purchase,10-20,,4,No,"Other, Notes/highlighting, Progress tracking, Quizzes","Udemy, Coursera, Khan Academy, Unacademy, Other, Byju’s",More affordable
25-34,Male,Undergraduate,500-1000,Entrepreneur,Tonga,North Melaniefort,Married,Yes,Not applicable,Smartphone,Excellent,1-2,Afternoon,Self-paced,3,WhatsApp,Always,Video,Somewhat,Neutral,"Parental suggestion, Other, Certification, Academic help, Skill development","Get a new job, Other, Start a business, Networking","Arts, Technology, Languages, Science","Offline access, Recorded videos, Gamification, Quizzes","Other, Certification, App design, Peer reviews, Tutor quality","Distractions, Lack of motivation, Cost, Other, Lack of support, Technical issues",4,>10,Yes,Unclear benefits,No,Pay per course,10-20,"Other, No payment method, Prefer free content, Not enough content, Price",3,No,"Quizzes, Live sessions, Community forums, Progress tracking","Khan Academy, Skillshare, Udemy, edX",More courses
18-24,Male,Undergraduate,>5000,Entrepreneur,Equatorial Guinea,Port Jennifer,Single,Yes,Yes,Tablet,Good,4-6,Night,One-on-one,5,YouTube,Rarely,Text,Yes,Neutral,"Parental suggestion, Hobby learning, Other, Career growth","Switch careers, Get a new job, Start a business, Other, Earn certifications, Improve current job skills","Exam prep, Humanities, Technology, Business, Arts, Other","Recorded videos, Peer interaction, Offline access, Personalized content, Live classes","Content quality, Price, App design, Tutor quality, Customer support, Other","Time management, Poor internet, Cost, Distractions, Technical issues, Lack of support",5,1-2,Yes,Interesting content,No,Free only,<10,"Other, Privacy concerns, Not enough content, Lack of reviews",4,Yes,"Notes/highlighting, Quizzes, Live sessions, Downloadable resources, Other","edX, Other, Byju’s, Coursera, Khan Academy, Skillshare",More courses
25-34,Female,Undergraduate,2000-5000,Working Professional,Japan,Kevinview,Married,Yes,Not applicable,Smartphone,Good,4-6,Night,Group sessions,5,Instagram,Sometimes,Image,Yes,Neutral,"Peer recommendation, Hobby learning, Exam preparation, Career growth, Certification, Academic help","Get a new job, Start a business, Switch careers, Personal enrichment","Arts, Business, Science, Humanities, Exam prep","Quizzes, Peer interaction, Personalized content, Certificates, Recorded videos, Gamification","Flexibility, Tutor quality, Price, Certification, App design","Lack of motivation, Time management, Distractions, Other, Cost, Lack of support",1,1-2,Yes,Other,Yes,Annual subscription,<10,,5,Yes,"Notes/highlighting, Leaderboards, Live sessions, Quizzes, Community forums, Other","edX, Skillshare, Byju’s, Khan Academy, Unacademy, Other",Improved interaction
18-24,Female,Undergraduate,<500,Working Professional,Mozambique,Patrickberg,Single,No,Not applicable,Smartphone,Good,1-2,Evening,Live classes,2,LinkedIn,Rarely,Pop-up,No,Appealing,"Parental suggestion, Other, Skill development, Exam preparation, Hobby learning","Other, Personal enrichment, Switch careers, Improve current job skills","Business, Humanities, Arts, Other, Technology, Science","Offline access, Live classes, Other, Peer interaction, Certificates","Peer reviews, App design, Content quality, Other","Technical issues, Boring content, Lack of motivation, Time management, Other",5,0,Yes,Unclear benefits,Yes,Free only,<10,,2,No,"Live sessions, Community forums, Notes/highlighting, Other","Byju’s, Other, Unacademy, None, Coursera",Better UI
25-34,Male,Postgraduate,<500,Working Professional,Morocco,Ryanton,Married,No,Not applicable,Smartphone,Excellent,>6,Evening,Self-paced,5,Instagram,Rarely,Influencer post,No,Appealing,"Career growth, Skill development, Other, Peer recommendation","Switch careers, Pass exams, Improve current job skills, Personal enrichment, Other","Science, Humanities, Other, Arts, Business, Languages","Certificates, Live classes, Peer interaction, Gamification, Personalized content","Certification, Peer reviews, Price, Other, Flexibility, Tutor quality","Cost, Boring content, Poor internet, Time management, Lack of motivation, Technical issues",5,1-2,Yes,Lack of interest,No,One-time purchase,20-50,"Other, Prefer free content, Lack of reviews, No payment method, Not enough content",4,Yes,"Other, Community forums, Downloadable resources, Notes/highlighting","Unacademy, Coursera, Khan Academy, edX, Byju’s",More live sessions
18-24,Female,Undergraduate,>5000,Working Professional,Morocco,Ryanshire,Single,No,Not applicable,Other,Average,>6,Night,Group sessions,1,LinkedIn,Never,Pop-up,Yes,Very appealing,"Career growth, Hobby learning, Skill development, Peer recommendation, Certification, Academic help","Switch careers, Start a business, Personal enrichment, Improve current job skills, Networking","Technology, Exam prep, Science, Languages, Business, Arts","Personalized content, Other, Recorded videos, Gamification","Price, Other, Certification, App design","Distractions, Poor internet, Cost, Boring content, Time management, Other",5,1-2,Yes,Interesting content,No,Monthly subscription,20-50,"Lack of reviews, Other, Not enough content, Prefer free content, Privacy concerns",5,No,"Leaderboards, Other, Discussion boards, Notes/highlighting, Quizzes","Skillshare, Other, Unacademy, Byju’s",More live sessions
18-24,Female,Other,2000-5000,Student,Togo,North Richard,Other,Yes,Not applicable,Smartphone,Good,4-6,Early morning,Blended,4,Facebook,Rarely,Pop-up,Yes,Appealing,"Skill development, Career growth, Hobby learning, Certification, Parental suggestion, Peer recommendation","Earn certifications, Get a new job, Switch careers, Improve current job skills, Networking","Languages, Exam prep, Humanities, Business","Offline access, Gamification, Quizzes, Other, Personalized content","Flexibility, Customer support, Other, Tutor quality, Content quality, Peer reviews","Boring content, Time management, Lack of motivation, Poor internet",3,1-2,No,Lack of interest,No,Free only,<10,"Privacy concerns, Not enough content, Prefer free content, Lack of reviews, Complicated signup",3,No,"Quizzes, Live sessions, Notes/highlighting, Leaderboards","edX, Coursera, Other, None, Skillshare, Khan Academy",More affordable
35-44,Female,Doctorate,>5000,Working Professional,Peru,Parkbury,Married,Yes,No,Smartphone,Average,2-4,Evening,Self-paced,2,WhatsApp,Sometimes,Text,Yes,Neutral,"Academic help, Certification, Exam preparation, Career growth, Hobby learning, Peer recommendation","Personal enrichment, Networking, Get a new job, Start a business, Earn certifications","Arts, Languages, Business, Other","Certificates, Quizzes, Peer interaction, Gamification, Offline access","Content quality, Peer reviews, App design, Price, Customer support, Flexibility","Time management, Distractions, Poor internet, Boring content, Lack of motivation, Cost",4,3-5,Yes,Interesting content,Yes,Monthly subscription,<10,,5,Yes,"Discussion boards, Other, Quizzes, Live sessions","Udemy, Byju’s, None, Khan Academy, Unacademy",Better support
25-34,Male,Undergraduate,<500,Working Professional,Senegal,Keymouth,Married,Yes,Yes,Tablet,Average,<1,Evening,One-on-one,5,Instagram,Rarely,Image,Yes,Appealing,"Peer recommendation, Academic help, Other, Exam preparation, Parental suggestion, Career growth","Other, Networking, Improve current job skills, Pass exams","Technology, Business, Languages, Arts, Exam prep","Peer interaction, Live classes, Other, Personalized content","Tutor quality, Peer reviews, Content quality, Certification, Customer support, App design","Lack of motivation, Lack of support, Time management, Poor internet, Other",3,3-5,No,Trust in brand,No,Monthly subscription,>100,"Not enough content, Prefer free content, Privacy concerns, Price, Lack of reviews, No payment method",5,Yes,"Live sessions, Notes/highlighting, Discussion boards, Quizzes, Community forums, Leaderboards","Skillshare, Coursera, Byju’s, Khan Academy, Udemy, None",More affordable
18-24,Male,High School,<500,Working Professional,Holy See (Vatican City State),North Franciscofurt,Other,No,Not applicable,Smart TV,Excellent,4-6,Evening,Self-paced,5,YouTube,Never,Text,Somewhat,Very appealing,"Career growth, Peer recommendation, Parental suggestion, Exam preparation, Other","Networking, Improve current job skills, Switch careers, Other, Personal enrichment","Humanities, Other, Technology, Exam prep","Peer interaction, Recorded videos, Gamification, Quizzes, Offline access, Other","Certification, Content quality, Other, Customer support","Boring content, Lack of motivation, Distractions, Technical issues, Poor internet, Cost",4,3-5,No,Value for money,No,Pay per course,10-20,"Other, Lack of reviews, Complicated signup, No payment method",5,No,"Quizzes, Progress tracking, Community forums, Discussion boards, Other","Coursera, edX, Unacademy, Other, Udemy",More courses
35-44,Male,Postgraduate,1000-2000,Homemaker,Fiji,Reynoldsstad,Married,Yes,Not applicable,Smartphone,Excellent,4-6,Evening,Blended,4,Facebook,Rarely,Image,Yes,Appealing,"Academic help, Career growth, Peer recommendation, Other, Parental suggestion","Earn certifications, Start a business, Personal enrichment, Networking, Switch careers","Business, Exam prep, Science, Arts, Other","Personalized content, Certificates, Live classes, Recorded videos, Other","Customer support, Price, Tutor quality, Flexibility","Technical issues, Poor internet, Lack of support, Other",2,1-2,Yes,Unclear benefits,No,Monthly subscription,10-20,"Lack of reviews, Prefer free content, No payment method, Complicated signup, Privacy concerns, Not enough content",4,Yes,"Notes/highlighting, Other, Progress tracking, Discussion boards","edX, Udemy, None, Skillshare, Coursera",More courses
25-34,Female,Undergraduate,<500,Student,United States Minor Outlying Islands,Port Edwardfort,Divorced,Yes,No,Smartphone,Excellent,>6,Afternoon,Self-paced,5,YouTube,Rarely,Video,Yes,Appealing,"Exam preparation, Certification, Skill development, Other, Peer recommendation","Get a new job, Pass exams, Improve current job skills, Start a business, Earn certifications, Networking","Technology, Languages, Other, Arts","Gamification, Offline access, Quizzes, Recorded videos, Certificates, Live classes","Content quality, Certification, Customer support, Other, Peer reviews, Tutor quality","Lack of support, Poor internet, Cost, Time management, Lack of motivation",3,6-10,Yes,Lack of interest,No,Free only,50-100,"Price, Complicated signup, Other, Not enough content",4,No,"Other, Quizzes, Notes/highlighting, Live sessions, Leaderboards","Unacademy, edX, Other, Skillshare",More affordable
18-24,Female,Other,<500,Student,Malaysia,South Martin,Single,No,Not applicable,Smartphone,Good,2-4,Evening,Live classes,3,WhatsApp,Sometimes,Image,Yes,Appealing,"Hobby learning, Career growth, Parental suggestion, Other, Academic help","Pass exams, Earn certifications, Start a business, Networking, Get a new job","Business, Languages, Exam prep, Other, Technology, Humanities","Recorded videos, Personalized content, Live classes, Other","Tutor quality, Content quality, Price, Flexibility, Peer reviews, Certification","Cost, Lack of motivation, Boring content, Lack of support",5,3-5,Yes,Unclear benefits,Yes,Annual subscription,50-100,,3,Yes,"Progress tracking, Other, Discussion boards, Quizzes","Other, Coursera, Khan Academy, None",Better support
25-34,Non-binary/Other,Postgraduate,<500,Working Professional,Nauru,Port Scott,Single,No,Not applicable,Smartphone,Excellent,4-6,Night,One-on-one,2,YouTube,Rarely,Video,Somewhat,Neutral,"Peer recommendation, Academic help, Other, Skill development, Parental suggestion, Career growth","Switch careers, Personal enrichment, Pass exams, Start a business, Get a new job","Exam prep, Business, Other, Science, Humanities","Offline access, Certificates, Live classes, Quizzes, Gamification","App design, Price, Peer reviews, Content quality","Lack of motivation, Distractions, Lack of support, Cost, Other, Boring content",5,1-2,No,Interesting content,No,Free only,10-20,"Price, Other, Lack of reviews, Privacy concerns, Not enough content, No payment method",4,Yes,"Notes/highlighting, Live sessions, Community forums, Leaderboards, Quizzes, Downloadable resources","Other, Coursera, None, Khan Academy, edX",Improved interaction
18-24,Male,Postgraduate,2000-5000,Student,British Virgin Islands,Loriport,Single,No,Not applicable,Smartphone,Average,2-4,Night,Self-paced,4,Instagram,Often,Video,Yes,Appealing,"Certification, Hobby learning, Peer recommendation, Career growth","Improve current job skills, Earn certifications, Switch careers, Networking","Other, Exam prep, Humanities, Business, Languages, Technology","Live classes, Offline access, Peer interaction, Other, Recorded videos, Gamification","Certification, Content quality, Price, App design","Technical issues, Distractions, Boring content, Poor internet, Time management, Cost",5,0,No,Value for money,No,Monthly subscription,<10,"Price, Other, Complicated signup, Not enough content",5,Yes,"Live sessions, Discussion boards, Notes/highlighting, Other, Quizzes","Byju’s, None, Skillshare, Khan Academy, Coursera, Unacademy",More courses
25-34,Male,Undergraduate,1000-2000,Entrepreneur,Saint Helena,New Matthew,Married,No,Not applicable,Smartphone,Good,<1,Afternoon,Live classes,5,Google Search,Always,Video,Somewhat,Appealing,"Academic help, Hobby learning, Skill development, Certification, Parental suggestion, Exam preparation","Improve current job skills, Other, Earn certifications, Pass exams, Get a new job, Start a business","Technology, Exam prep, Languages, Science, Business","Offline access, Gamification, Live classes, Personalized content","Flexibility, Price, Content quality, App design, Other, Certification","Distractions, Lack of motivation, Technical issues, Time management, Poor internet, Cost",1,1-2,Yes,Interesting content,Yes,Pay per course,50-100,,5,Yes,"Discussion boards, Live sessions, Quizzes, Other","Coursera, edX, None, Other, Unacademy, Khan Academy",More affordable
18-24,Male,Undergraduate,1000-2000,Student,Jamaica,East Jeffreymouth,Married,No,Not applicable,Laptop/PC,Good,>6,Evening,Self-paced,5,YouTube,Never,Influencer post,Somewhat,Appealing,"Peer recommendation, Career growth, Academic help, Certification, Skill development","Start a business, Get a new job, Personal enrichment, Networking, Improve current job skills, Switch careers","Humanities, Science, Languages, Arts, Technology","Other, Gamification, Certificates, Personalized content, Peer interaction, Live classes","Customer support, App design, Peer reviews, Price, Certification","Cost, Time management, Distractions, Other",4,3-5,No,Interesting content,No,Annual subscription,20-50,"Other, Complicated signup, Price, Lack of reviews",4,No,"Leaderboards, Quizzes, Notes/highlighting, Downloadable resources, Discussion boards","Coursera, Skillshare, Unacademy, Byju’s",More live sessions
<18,Female,Postgraduate,500-1000,Working Professional,United Kingdom,West Amandamouth,Married,No,Not applicable,Smartphone,Good,1-2,Evening,Live classes,4,Facebook,Rarely,Video,Yes,Neutral,"Peer recommendation, Exam preparation, Career growth, Certification","Switch careers, Pass exams, Personal enrichment, Get a new job, Improve current job skills","Other, Exam prep, Science, Technology","Peer interaction, Other, Offline access, Certificates","App design, Content quality, Certification, Other, Peer reviews, Price","Cost, Other, Lack of motivation, Poor internet",3,3-5,No,Parental advice,No,Annual subscription,<10,"Not enough content, No payment method, Lack of reviews, Privacy concerns, Other",3,Yes,"Quizzes, Leaderboards, Community forums, Discussion boards, Other, Downloadable resources","Udemy, Coursera, Other, Byju’s, edX, None",More affordable
25-34,Female,Other,1000-2000,Student,Slovakia (Slovak Republic),West Lucasland,Married,No,Not applicable,Laptop/PC,Good,2-4,Evening,Self-paced,3,Instagram,Never,Pop-up,Yes,Appealing,"Skill development, Academic help, Hobby learning, Certification","Improve current job skills, Pass exams, Other, Earn certifications, Personal enrichment, Switch careers","Other, Science, Humanities, Exam prep, Business, Technology","Peer interaction, Gamification, Other, Recorded videos, Quizzes","App design, Customer support, Other, Tutor quality, Certification, Content quality","Lack of support, Cost, Boring content, Technical issues, Other",4,3-5,Yes,Value for money,No,Annual subscription,50-100,"Lack of reviews, Prefer free content, Price, No payment method, Privacy concerns",3,Yes,"Progress tracking, Discussion boards, Downloadable resources, Community forums, Leaderboards, Other","Khan Academy, None, Coursera, Byju’s",Other
18-24,Female,High School,500-1000,Working Professional,Switzerland,Port Christopher,Single,Yes,Yes,Tablet,Excellent,1-2,Evening,Self-paced,2,YouTube,Sometimes,Image,Yes,Appealing,"Parental suggestion, Certification, Academic help, Peer recommendation, Hobby learning","Personal enrichment, Earn certifications, Switch careers, Get a new job","Other, Science, Humanities, Business, Arts, Technology","Recorded videos, Personalized content, Live classes, Gamification, Quizzes, Peer interaction","Price, Customer support, Content quality, Certification, Tutor quality, Other","Other, Boring content, Cost, Lack of support, Technical issues, Lack of motivation",5,6-10,No,Interesting content,No,Pay per course,10-20,"Lack of reviews, Price, Not enough content, Complicated signup, Privacy concerns",3,No,"Live sessions, Progress tracking, Quizzes, Discussion boards, Downloadable resources, Notes/highlighting","Udemy, None, Khan Academy, Skillshare",More languages
25-34,Male,Postgraduate,>5000,Working Professional,Burkina Faso,Kaylaberg,Single,No,Not applicable,Smartphone,Excellent,>6,Afternoon,Blended,4,WhatsApp,Sometimes,Text,Yes,Neutral,"Certification, Peer recommendation, Skill development, Career growth, Hobby learning","Switch careers, Get a new job, Other, Improve current job skills","Other, Exam prep, Science, Arts, Business","Offline access, Recorded videos, Other, Peer interaction, Gamification","Certification, Price, Other, Content quality","Distractions, Boring content, Cost, Technical issues, Lack of motivation",5,6-10,No,Interesting content,No,Pay per course,<10,"Prefer free content, Privacy concerns, Price, No payment method",3,Yes,"Live sessions, Progress tracking, Community forums, Downloadable resources","None, edX, Udemy, Byju’s, Unacademy, Skillshare",More courses
35-44,Female,Undergraduate,<500,Working Professional,Belize,North Rachel,Married,No,Not applicable,Laptop/PC,Excellent,2-4,Evening,Live classes,5,Google Search,Rarely,Pop-up,Somewhat,Very appealing,"Certification, Skill development, Career growth, Hobby learning, Peer recommendation","Personal enrichment, Earn certifications, Improve current job skills, Pass exams, Switch careers, Networking","Business, Humanities, Other, Arts, Technology","Personalized content, Recorded videos, Peer interaction, Certificates, Offline access","App design, Peer reviews, Flexibility, Other, Customer support, Tutor quality","Lack of motivation, Poor internet, Technical issues, Time management, Distractions, Other",5,1-2,No,Interesting content,No,Monthly subscription,50-100,"Lack of reviews, Privacy concerns, No payment method, Not enough content, Price, Prefer free content",1,Yes,"Community forums, Discussion boards, Leaderboards, Other","Other, Unacademy, Khan Academy, Byju’s, Coursera, Skillshare",More affordable
25-34,Male,Postgraduate,>5000,Working Professional,Saint Lucia,Rodriguezshire,Married,Yes,Yes,Smartphone,Good,>6,Evening,Group sessions,1,YouTube,Often,Text,Yes,Neutral,"Parental suggestion, Certification, Career growth, Hobby learning, Peer recommendation, Exam preparation","Networking, Start a business, Improve current job skills, Switch careers","Exam prep, Business, Science, Technology","Personalized content, Other, Gamification, Quizzes, Peer interaction","Price, Customer support, Certification, Flexibility, Other, Tutor quality","Poor internet, Lack of support, Lack of motivation, Technical issues, Cost, Boring content",4,3-5,No,Interesting content,No,Annual subscription,10-20,"No payment method, Other, Complicated signup, Prefer free content",5,No,"Notes/highlighting, Progress tracking, Downloadable resources, Live sessions, Leaderboards, Community forums","Unacademy, Other, edX, Skillshare, Khan Academy",Better support
18-24,Female,Undergraduate,2000-5000,Entrepreneur,Malaysia,New Charlesmouth,Married,No,Not applicable,Tablet,Good,2-4,Early morning,Self-paced,4,LinkedIn,Never,Text,Yes,Appealing,"Exam preparation, Hobby learning, Certification, Other","Personal enrichment, Start a business, Pass exams, Switch careers, Get a new job, Other","Technology, Arts, Other, Exam prep, Humanities, Languages","Recorded videos, Other, Live classes, Certificates","Content quality, Certification, App design, Price","Boring content, Time management, Technical issues, Cost",4,3-5,Yes,Value for money,Yes,Annual subscription,20-50,,3,No,"Other, Discussion boards, Downloadable resources, Live sessions","Other, None, Udemy, Unacademy",More live sessions
35-44,Male,Doctorate,<500,Other,United Kingdom,Port Ryan,Single,Yes,Yes,Laptop/PC,Poor,4-6,Night,Live classes,2,YouTube,Never,Video,Yes,Very appealing,"Certification, Academic help, Other, Career growth, Hobby learning","Start a business, Get a new job, Pass exams, Switch careers","Languages, Technology, Business, Arts","Offline access, Live classes, Personalized content, Peer interaction, Certificates","Price, Tutor quality, Flexibility, Peer reviews","Time management, Technical issues, Poor internet, Other, Cost",2,1-2,Yes,Interesting content,No,Free only,10-20,"Not enough content, Privacy concerns, Lack of reviews, Other, Prefer free content",3,No,"Notes/highlighting, Progress tracking, Other, Discussion boards, Community forums, Quizzes","Coursera, Byju’s, Unacademy, None",Better UI
35-44,Female,Postgraduate,>5000,Student,Jordan,Lake Joshuamouth,Married,No,Not applicable,Smartphone,Good,>6,Evening,Self-paced,5,Instagram,Rarely,Video,Yes,Very unappealing,"Career growth, Parental suggestion, Certification, Other, Skill development","Start a business, Improve current job skills, Other, Earn certifications, Switch careers, Networking","Humanities, Business, Arts, Science, Technology, Other","Quizzes, Personalized content, Peer interaction, Offline access, Gamification, Certificates","App design, Customer support, Other, Price, Peer reviews","Cost, Lack of support, Technical issues, Distractions",2,3-5,No,Value for money,No,Annual subscription,<10,"Complicated signup, Price, Not enough content, Privacy concerns",4,No,"Live sessions, Discussion boards, Quizzes, Downloadable resources, Other, Community forums","Unacademy, Coursera, Byju’s, Khan Academy, edX",Improved interaction
25-34,Male,Postgraduate,>5000,Working Professional,Cyprus,Melissaberg,Other,No,Not applicable,Smartphone,Average,2-4,Afternoon,One-on-one,4,YouTube,Rarely,Image,Yes,Appealing,"Hobby learning, Career growth, Exam preparation, Skill development, Peer recommendation","Get a new job, Earn certifications, Improve current job skills, Pass exams","Business, Languages, Humanities, Technology","Live classes, Personalized content, Gamification, Offline access, Peer interaction","Other, App design, Price, Content quality","Lack of support, Time management, Technical issues, Lack of motivation",4,3-5,No,Value for money,No,Monthly subscription,20-50,"No payment method, Complicated signup, Other, Price, Not enough content, Privacy concerns",5,Yes,"Downloadable resources, Community forums, Live sessions, Leaderboards, Progress tracking","Udemy, Byju’s, Khan Academy, edX",Better UI
18-24,Female,Postgraduate,1000-2000,Other,Belarus,East Brittanyburgh,Married,No,Not applicable,Smartphone,Average,>6,Afternoon,One-on-one,2,Google Search,Rarely,Influencer post,Yes,Very appealing,"Parental suggestion, Certification, Academic help, Peer recommendation, Skill development, Exam preparation","Start a business, Earn certifications, Personal enrichment, Get a new job, Improve current job skills, Switch careers","Arts, Humanities, Languages, Exam prep","Quizzes, Other, Gamification, Personalized content","Tutor quality, Customer support, Content quality, Flexibility, Peer reviews","Technical issues, Boring content, Distractions, Poor internet, Lack of support",3,0,No,Unclear benefits,No,One-time purchase,20-50,"Price, No payment method, Privacy concerns, Complicated signup",1,No,"Discussion boards, Notes/highlighting, Community forums, Progress tracking, Other","None, Unacademy, Udemy, Other, Coursera",More courses
25-34,Female,Postgraduate,500-1000,Working Professional,Costa Rica,West Timothybury,Married,Yes,Not applicable,Tablet,Good,2-4,Afternoon,Blended,5,Instagram,Always,Video,Somewhat,Appealing,"Other, Hobby learning, Certification, Skill development","Pass exams, Other, Start a business, Earn certifications, Improve current job skills","Technology, Exam prep, Languages, Business","Peer interaction, Offline access, Gamification, Certificates","Peer reviews, Tutor quality, App design, Other","Distractions, Lack of support, Technical issues, Other, Time management",4,>10,Yes,Peer pressure,No,Free only,20-50,"Prefer free content, Complicated signup, Other, Privacy concerns, No payment method",5,No,"Progress tracking, Community forums, Discussion boards, Leaderboards, Notes/highlighting","Unacademy, Skillshare, Coursera, Udemy, Byju’s",Better UI
18-24,Male,Undergraduate,2000-5000,Entrepreneur,Cook Islands,Jamesburgh,Single,Yes,Not applicable,Smartphone,Good,1-2,Evening,Group sessions,3,Facebook,Rarely,Video,No,Appealing,"Other, Parental suggestion, Certification, Exam preparation, Academic help","Improve current job skills, Personal enrichment, Pass exams, Get a new job, Earn certifications, Networking","Science, Languages, Technology, Business, Exam prep","Offline access, Quizzes, Live classes, Gamification, Personalized content, Peer interaction","Peer reviews, Other, Customer support, Price, Certification, Content quality","Time management, Poor internet, Technical issues, Lack of motivation, Other, Boring content",2,6-10,Yes,Trust in brand,Yes,Monthly subscription,10-20,,4,Yes,"Notes/highlighting, Progress tracking, Quizzes, Other, Live sessions","edX, Coursera, Udemy, Other, None",More languages
18-24,Female,Undergraduate,500-1000,Student,Slovenia,East Yolandatown,Married,No,Not applicable,Smartphone,Good,4-6,Evening,Blended,5,Instagram,Sometimes,Influencer post,Somewhat,Appealing,"Skill development, Peer recommendation, Certification, Hobby learning, Career growth","Personal enrichment, Improve current job skills, Get a new job, Switch careers, Earn certifications","Technology, Business, Humanities, Other, Science, Arts","Live classes, Recorded videos, Peer interaction, Personalized content, Gamification","Customer support, Certification, Other, App design, Content quality","Poor internet, Other, Cost, Technical issues, Lack of support",5,>10,No,Lack of interest,No,Monthly subscription,<10,"Prefer free content, Other, Complicated signup, Price, Not enough content",5,No,"Downloadable resources, Community forums, Notes/highlighting, Progress tracking, Quizzes","Byju’s, edX, None, Khan Academy, Coursera",Improved interaction
25-34,Male,Undergraduate,500-1000,Other,Tonga,Holtstad,Married,No,Not applicable,Laptop/PC,Good,4-6,Night,Live classes,5,Other,Never,Influencer post,No,Appealing,"Exam preparation, Hobby learning, Career growth, Skill development","Pass exams, Personal enrichment, Switch careers, Start a business","Science, Other, Business, Humanities, Exam prep, Languages","Gamification, Certificates, Quizzes, Personalized content","Other, Price, Certification, App design","Distractions, Cost, Time management, Lack of motivation, Poor internet",4,>10,Yes,Value for money,No,Annual subscription,10-20,"Price, Not enough content, Privacy concerns, Complicated signup, Lack of reviews, No payment method",4,Yes,"Notes/highlighting, Community forums, Discussion boards, Other, Quizzes","Udemy, Other, Byju’s, Coursera",Better support
55+,Male,Postgraduate,<500,Working Professional,Lebanon,Lake Jonathan,Married,Yes,Yes,Smartphone,Excellent,1-2,Afternoon,Blended,5,Google Search,Rarely,Video,No,Appealing,"Other, Skill development, Hobby learning, Parental suggestion, Academic help, Peer recommendation","Networking, Improve current job skills, Earn certifications, Switch careers, Start a business","Other, Arts, Exam prep, Languages","Personalized content, Quizzes, Gamification, Recorded videos, Certificates","Flexibility, Tutor quality, Price, Peer reviews, Customer support","Lack of motivation, Poor internet, Time management, Lack of support, Distractions",5,0,No,Value for money,No,Annual subscription,50-100,"Other, Prefer free content, No payment method, Complicated signup, Privacy concerns",5,Yes,"Notes/highlighting, Downloadable resources, Progress tracking, Live sessions, Discussion boards","Other, Udemy, Byju’s, Coursera, Khan Academy, Unacademy",More courses
